model,status,nrows,elapsed_seconds,accuracy,precision,recall,f1,roc_auc,note
logistic_regression,ok,200000,0.81,0.97195,0.02519548218940052,1.0,0.04915254237288136,0.9989233573651242,
random_forest,ok,200000,6.4,0.999975,1.0,0.9655172413793104,0.9824561403508771,0.9999974119167431,
xgboost,ok,200000,1.24,0.999975,1.0,0.9655172413793104,0.9824561403508771,0.9999792953339446,
lightgbm,ok,200000,1.32,0.999975,1.0,0.9655172413793104,0.9824561403508771,0.9999999999999999,
neural_network,ok,200000,5.37,0.9994,1.0,0.1724137931034483,0.29411764705882354,0.9989544143642072,
